id	text
ITEM_000	없음
ITEM_001	어스 브레이드
ITEM_002	아체의 리본
ITEM_003	아이프리드 햇
ITEM_004	아쿠아 망토
ITEM_005	미식전사의 증표
ITEM_006	애플 구미
ITEM_007	모래시계
ITEM_008	앙크 바렛
ITEM_009	김
ITEM_010	보팔 소드
ITEM_011	토끼 인형
ITEM_012	엑스칼리버
ITEM_013	이터널 소드
ITEM_014	에메랄드 링
ITEM_015	엘릭서
ITEM_016	엘프 부츠
ITEM_017	엘프 보우
ITEM_018	엘리멘트 오브
ITEM_019	분꽃
ITEM_020	주먹밥
ITEM_021	오렌지 구미
ITEM_022	거베라꽃
ITEM_023	자물쇠 도구
ITEM_024	각성의 오브
ITEM_025	지갑
ITEM_026	유리구슬
ITEM_027	경석
ITEM_028	카르보나라
ITEM_029	카레라이스
ITEM_030	황정석
ITEM_031	기타
ITEM_032	경전
ITEM_033	은 국자
ITEM_034	골드 초커
ITEM_035	골드 프라이팬
ITEM_036	쿠나이
ITEM_037	곰
ITEM_038	그라탕
ITEM_039	그레이트 소드
ITEM_040	크레멜 케이지
ITEM_041	크레센트 애로
ITEM_042	크로나 심볼
ITEM_043	클로버
ITEM_044	검은허리띠
ITEM_045	매운 향신료
ITEM_046	코어 크리스탈
ITEM_047	흑정석
ITEM_048	호접란
ITEM_049	코르레인의 항아리
ITEM_050	썬더 망토
ITEM_051	샌드위치
ITEM_052	제트 부츠
ITEM_053	사전
ITEM_054	자정석
ITEM_055	실크 햇
ITEM_056	수정 조각
ITEM_057	스타 글로브
ITEM_058	스타 헬름
ITEM_059	스타 메이스
ITEM_060	스틸 소드
ITEM_061	스펙터클즈
ITEM_062	제비꽃
ITEM_063	슬레이어 소드
ITEM_064	청정석
ITEM_065	청룡도
ITEM_066	홍정석
ITEM_067	세인트 레이피어
ITEM_068	설계도
ITEM_069	다크 보틀
ITEM_070	다이아몬드
ITEM_071	계란
ITEM_072	양파
ITEM_073	탈리스만
ITEM_074	댄스 슈즈
ITEM_075	치즈
ITEM_076	챔피언 벨트
ITEM_077	청진기
ITEM_078	참치 샌드
ITEM_079	곡괭이
ITEM_080	참치 덮밥
ITEM_081	갑판 솔
ITEM_082	철광석
ITEM_083	두부
ITEM_084	두부 구미
ITEM_085	도에니스꽃
ITEM_086	시간의 열쇠
ITEM_087	토마토
ITEM_088	자주복
ITEM_089	트럼프
ITEM_090	드릴
ITEM_091	나이츠 세이버
ITEM_092	나폴리탄
ITEM_093	고기
ITEM_094	닌자도 치자쿠라
ITEM_095	네크로노미콘
ITEM_096	강아지풀
ITEM_097	파인 구미
ITEM_098	백정석
ITEM_099	파스타
ITEM_100	파나시아 보틀
ITEM_101	코안경
ITEM_102	토우
ITEM_103	패럴라이 체크
ITEM_104	판다
ITEM_105	햄버거
ITEM_106	미백 로션
ITEM_107	피요한
ITEM_108	패션 잡지
ITEM_109	피트 심볼
ITEM_110	페어리 링
ITEM_111	복어 구미
ITEM_112	복어회
ITEM_113	프라이팬
ITEM_114	블랙 오닉스
ITEM_115	플랑베르주
ITEM_116	프리즈 체크
ITEM_117	프리즈 링
ITEM_118	블루 탈리스만
ITEM_119	플레어 망토
ITEM_120	빵
ITEM_121	프로텍트 링
ITEM_122	페르시아 부츠
ITEM_123	변신 지팡이
ITEM_124	포이즌 체크
ITEM_125	호루라기
ITEM_126	홀리 보틀
ITEM_127	볼텍 소드
ITEM_128	마가렛꽃
ITEM_129	마파두부
ITEM_130	마파 카레
ITEM_131	참치
ITEM_132	매직 미스트
ITEM_133	마술 입문서
ITEM_134	마스코트
ITEM_135	맘 베인
ITEM_136	망토
ITEM_137	미아키스 배지
ITEM_138	미스티 심볼
ITEM_139	믹스 구미
ITEM_140	미라클 구미
ITEM_141	문 크리스탈
ITEM_142	멘탈 링
ITEM_143	라이스
ITEM_144	라이프 보틀
ITEM_145	라슈안염색
ITEM_146	라스트 펜서
ITEM_147	부활 인형
ITEM_148	류트
ITEM_149	녹정석
ITEM_150	레더 망토
ITEM_151	레지스트 링
ITEM_152	양상추
ITEM_153	레몬 구미
ITEM_154	연금술서
ITEM_155	렌즈
ITEM_156	롱보우
